ID_patologia,TIPO DE PATOLOGIA,Descripción
F33,TRASTORNOS DEL HUMOR ( AFECTIVOS ),TRASTORNO DEPRESIVO RECURRENTE
F34,TRASTORNOS DEL HUMOR ( AFECTIVOS ),"TRASTORNO DEL HUMOR (AFECTIVOS), PERSISTENTES"
F38,TRASTORNOS DEL HUMOR ( AFECTIVOS ),OTROS TRASTORNOS DEL HUMOR (AFECTIVOS)
F39,TRASTORNOS DEL HUMOR ( AFECTIVOS ),TRASTORNOD EL HUMOR (AFECTIVO) NO ESPECIFICADO
F40,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",TRASTORNOS FOBICOS DE ANSIEDAD
F41,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",OTROS TRASTORNOS DE ANSIEDAD
F42,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",TRASTORNO OBSESIVO - COMPULSIVO
F43,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",REACCOIN AL ESTRÉS GRAVE Y TRASTORNO DE ADAPTACION
F44,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",TRASTORNO DISOCIATIVOS (DE CONVERSION)
F45,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",TRASTORNO SOMATOMORFOS
F48,"TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL STRESS Y TRASTORNOS SOMATOMORFOS",OTROS TRASTORNOS NEUROTICOS
F500,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,ANOREXIA NERVIOSA
F501,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,ANOREXIA NERVIOSA ATIPICA
F502,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,BULIMIA NERVIOSA
F503,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,BULIMIA NERVIOSA ATIPICA
F504,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,HIPERFAGIA ASOCIADA CON OTRAS ALTERACIONES PSICOLOGICAS
F505,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,VOMITOS ASOCIADOS CON OTRAS ALTERACIONES PSICOLOGICAS
F508,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,OTROS TRASTORNOS DE LA INGESTION DE ALIMENTOS
F509,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,"TRASTORNO DE LA INGESTION DE ALIMENTOS, NO ESPECIFICADO"
F51,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,TRASTORNOS NO ORGANICOS DEL SUEÑO
F52,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,DISFUNCION SEXUAL NO ASOCIADA POR TRASTORNO NI ENFERMEDAD ORGANICOS
F53,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO ASOCIADOS CON EL PUERPERIO
F55,SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS,ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA
F60,TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS,TRASTORNO ESPECIFICO DE LA PERSONALIDA
F61,TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS,TRASTORNOS MIXTOS Y OTROS TRASTORNOS DE LA PERSONALIDAD
F63,TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS,TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS
F64,TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS,TRASTORNOS DE LA IDENTIDAD DE GENERO
F65,TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS,TRASTORNOS DE LA PREFERENCIA SEXUAL
F69,TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS,"TRASTORNO DE LA PERSONALIDASD Y DEL COMPORTAMIENTO EN ADULTOS,NO ESPECIFICADO"
F79,RETRASO MENTAL,"RETRASO MENTAL,NO ESPECIFICADO"
F80,TRASTORNOS DEL DESARROLLO PSICOLOGICO,TRASTORNOS ESPECIFICOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE
F81,TRASTORNOS DEL DESARROLLO PSICOLOGICO,TRASTORNOS ESPECIFICOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES
F82,TRASTORNOS DEL DESARROLLO PSICOLOGICO,TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ
F83,TRASTORNOS DEL DESARROLLO PSICOLOGICO,TRASTORNOS ESPECIFICOS MIXTOS DEL DESARROLLO
F84,TRASTORNOS DEL DESARROLLO PSICOLOGICO,TRASTORNOS GENERALIZADOS DEL DESARROLLO
F88,TRASTORNOS DEL DESARROLLO PSICOLOGICO,OTROS TRASTORNOS DEL DESARROLLO PSICOLOGICO
F89,TRASTORNOS DEL DESARROLLO PSICOLOGICO,"TRASTORNO DEL DESARROLLO PSICOLOGICO,NO ESPECIFICADO"
F90,TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ O EN LA ADOLESCENCIA,TRASTORNOS HIPERCINETICOS
F91,TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ O EN LA ADOLESCENCIA,TRASTORNOS DE LA CONDUCTA
F92,TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ O EN LA ADOLESCENCIA,TRASTORNOS MIXTOS DE LA CNDUCTA Y DE LAS EMOCIONES
F93,TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ O EN LA ADOLESCENCIA,TRASTORNOS EMOCIONALES DE COMIENZO ESPECIFICO EN LA NIÑEZ
F95,TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ O EN LA ADOLESCENCIA,TRASTORNOS POR TICS
F99,TRASTORNO MENTAL NO ESPECIFICADO,"TRASTORNO MENTAL,NO ESPECIFICADO"
G00,ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL,"MENINGITIS BACTERIANA,NO CLASIFICADA EN OTRA PARTE"
G03,ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL,MENINGITIS DEBIDA A OTRAS CAUAS Y ALAS NO ESPECIFICADAS
G04,ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL,"ENCEFALITIS,MIELITIS Y ENCEFALOMIELITIS"
G11,ENFERMEDADES DEL SISTEMA NERVIOSO CENTRAL,ATAXIA HEREDITARIA
G20,ENFERMEDADES DEL SISTEMA NERVIOSO,ENFERMEDAD DE PARKINSON
G30,OTRAS ENFERMEDADES DEGENERATIVAS DEL SISTEMA NERVIOSO,ENFERMEDAD DE ALZHEIMER
G35,ENFERMEDADES DESMIELINIZANTES DEL SISTEMA NERVIOSO CENTRAL,ESCLEROSIS MULTIPLE
G40,TRASTORNOS EPISODICOS Y PAROXISTICOS,EPILEPSIA
G43,TRASTORNOS EPISODICOS Y PAROXISTICOS,MIGRAÑA
G44,TRASTORNOS EPISODICOS Y PAROXISTICOS,OTROS SINDROMES DE CEFALEA
G47,TRASTORNOS EPISODICOS Y PAROXISTICOS,TRASTORNOS DEL SUEÑO
G51,"TRASTORNOS DE LOS NERVIOS, RAICES Y PLEXOS NERVIOSOS",TRASTORNOS DEL NERVIO FACIAL
G80,PARALISIS CEREBRAL Y OTROS SINDROMES PARALITICOS,PARALISIS CEREBRAL INFANTIL
G81,PARALISIS CEREBRAL Y OTROS SINDROMES PARALITICOS,HEMIPLEJIA
G82,PARALISIS CEREBRAL Y OTROS SINDROMES PARALITICOS,PARAPLEJIA Y CUADRIPLEJIA
G83,PARALISIS CEREBRAL Y OTROS SINDROMES PARALITICOS,OTROS SINDROMES PARALITICOS
H00,"TRASTORNOS DEL PARPADO,APARATO LAGRIMAL Y ORBITA",ORZUELO Y CALACIO
H01,"TRASTORNOS DEL PARPADO,APARATO LAGRIMAL Y ORBITA",OTRAS INFLAMACIONES DEL PARPADO
H02,"TRASTORNOS DEL PARPADO,APARATO LAGRIMAL Y ORBITA",OTROS TRASTORNOS DE LOS PARPADOS
H10,TRASTORNOS DE LA CONJUNTIVA,CONJUNTIVITIS
H11,TRASTORNOS DE LA CONJUNTIVA,OTROS TRASTYORNOS DE LA CONJUNTIVA
H400,GLAUCOMA,GLAUCOMA (SOSPECHA)
H50,TRASTORNOS DE LOS MUSCULOS OCULARES DEL MOVIMIENTO BINOCULAR DE LA ACOMODACION Y DE LA REFRACCION,OTROS ESTRABISMOS
H52,TRASTORNOS DE LOS MUSCULOS OCULARES DEL MOVIMIENTO BINOCULAR DE LA ACOMODACION Y DE LA REFRACCION,TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION
H53,ALTERACION DE LA VISION Y CEGUERA,ALTERACION DE LA VISION
H54,ALTERACION DE LA VISION Y CEGUERA,CEGUERA Y DISMINUCION DE LA AGUDEZA VISUAL
H57,ALTERACION DE LA VISION Y CEGUERA,OTROS TRASTORNOS DEL OJO Y SUS ANEXOS
H60,ENFERMEDADES DEL OIDO EXTERNO,OTITIS EXTERNA
H61,ENFERMEDADES DEL OIDO EXTERNO,OTROS TRASTORNOS DEL OIDO EXTERNO
H65,ENFERMEDADES DEL OIDO MEDIO Y DE LA MASTOIDES,OTITIS MEDIA NO SUPURATIVA
H66,ENFERMEDADES DEL OIDO MEDIO Y DE LA MASTOIDES,OTITIS MEDIA SUPURATIVA Y LA NO ESPECIFICADA
H70,ENFERMEDADES DEL OIDO MEDIO Y DE LA MASTOIDES,MASTOIDITIS Y AFECCIONES RELACIONADAS
H72,ENFERMEDADES DEL OIDO MEDIO Y DE LA MASTOIDES,PERFORACION DE LA MEMBRANA TIMPANICA
H91,OTROS TRASOTORNOS DEL OIDO,OTRAS HIPOACUSIA
H913,OTROS TRASOTORNOS DEL OIDO,"SORDOMUDEZ, NO CLASIFICADA EN OTRA PARTE"
H920,OTROS TRASOTORNOS DEL OIDO,OTALGIA
H921,OTROS TRASOTORNOS DEL OIDO,OTORREA
H922,OTROS TRASOTORNOS DEL OIDO,OTORRAGIA
I00,FIEBRE REUMATICA AGUDA,FIEBRE REUMATICA SIN MENCION DE COMPLICACION CARDIACA
I01,FIEBRE REUMATICA AGUDA,FIEBRE REUMATICA CON COMPLICACION CARDIACA
I02,FIEBRE REUMATICA AGUDA,COREA REUMATICA
I05,ENFERMEDADES CARDIACAS REUMATICAS CRONICAS,ENFERMEDADES REUMATICAS DE LA VALVULA MITRAL
I06,ENFERMEDADES CARDIACAS REUMATICAS CRONICAS,ENFERMEDADES REUMATICAS DE LA VALVULA AORTICA
I07,ENFERMEDADES CARDIACAS REUMATICAS CRONICAS,ENFERMEDADES REUMATICAS DE LA VALVULA TRICUSPIDE
I08,ENFERMEDADES CARDIACAS REUMATICAS CRONICAS,ENFERMEDADES VALVULARES MULTIPLES
I09,ENFERMEDADES CARDIACAS REUMATICAS CRONICAS,OTRAS ENFERMEDADES REUMATICAS DEL CORAZON
I10,ENFERMEDADES HIPERTENSIVAS,HIPERTENSION ESENCIAL (PRIMARIA)
I15,ENFERMEDADES HIPERTENSIVAS,HIPERTENSION SECUNDARIA
I20,ENFERMEDADES ISQUEMICAS DEL CORAZON,ANGINA DE PECHO
I21,ENFERMEDADES ISQUEMICAS DEL CORAZON,INFARTO AGUDO DEL MIOCARDIO
I23,ENFERMEDADES ISQUEMICAS DEL CORAZON,COMPLICACIONES POSTERIORES AL INFARTO AGUDO DEL MIOCARDIO
I24,ENFERMEDADES ISQUEMICAS DEL CORAZON,OTRAS ENFERMEDADES ISQUEMICAS AGUDAS DEL CORAZON
I46,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,PARO CARDIACO
I47,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,TAQUICARDIA PAROXISTICA
I48,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,FIBRILACION Y ALETEO AURICULAR
I49,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,OTRAS ARRITMIAS CARDIACAS
I50,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,INSUFICIENCIA CARDIACA
I51,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,COMPLICACIONES Y DESCRIPCIONES MAL DEFINIDAS DE ENFERMEDAD CARDIACA
I59,OTRAS FORMAS DE ENFERMEDAD DEL CORAZON,CONTROL CADIOLÓGICO
I64,ENFERMEDADES CEREBROVASCULARES,"ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESP COMO HEMORRAGICO O ISQUEMICO"
I70,"ENFERMEDADES DE LAS ARTERIAS, DE LAS ARTERIALES Y DE LOS VASOS CAPILARES",ARTERIOSCLEROSIS
I80,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",FLEBITIS Y TROMBOFLEBITIS
I81,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",TROMBOSIS DE LA VENA PORTA
I82,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",OTRAS EMBOLIAS Y TROMBOSIS VENOSAS
I83,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",VENAS VARICOSAS DE LOS MIEMBROS INFERIORES
I84,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",HEMORROIDES
I86,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",VARISES EN OTROS SITIOS
I88,"ENFERMEDADES DE LAS VENAS Y DE LOS VASOS Y GANGLIOS LINFATICOS, NO CLASIFICADOS EN OTRA PARTE",LINFADENITIS
I95,OTROS TRASTORNOS Y LOS NO ESPECIFICADOS DEL SISTEMA CIRCULATORIO,HIPOTENSION
I97,OTROS TRASTORNOS Y LOS NO ESPECIFICADOS DEL SISTEMA CIRCULATORIO,"TRASTORNOS DEL SISTEMA CIRCULATORIO CONSECUTIVOS A PROCEDIMIENTOS, NO"
J00,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,RINOFARINGITIS AGUDA (RESFRIADO COMUN)
J01,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,SINUSITIS AGUDA
J02,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,FARINGITIS AGUDA
J03,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,AMIGDALITISAGUDA
J04,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,LARINGITIS Y TRAQUEITIS AGUDAS
J05,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,LARINGITIS OBSTRUCTIVA AGUDA (CRUP) Y EPIGLOTITIS
J06,INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES,"INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES, DE SITIOS NOESPECIFICADOS"
J10,INFLUENZA ( GRIPE) Y NEUMONIA,INFLUENZA DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J11,INFLUENZA ( GRIPE) Y NEUMONIA,INFLUENZA DEBIDA A VIRUS NO IDENTIFICADO
J18,INFLUENZA ( GRIPE) Y NEUMONIA,"NEUMONIA, ORGANISMO NO ESPECIFICADO"
J20,OTRAS INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS INFERIORES,BRONQUITIS AGUDA
J21,OTRAS INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS INFERIORES,BRONQUIOLITIS AGUDA
J22,OTRAS INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS INFERIORES,INFECCION AGUDA NO ESPECIFICADA DE LAS VIAS RESPIRATORIAS INFERIORES
J30,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,RINITIS ALERGICA Y VASOMOTORA
J31,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,"RINITIS, RINOFARINGITIS Y FARINGITIS CRONICAS"
J32,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,SINUSITIS CRONICA
J33,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,POLIPO NASAL
J34,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES
J35,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,ENFERMEDADES CRONICAS DE LAS AMIGDALAS Y DE LAS ADENOIDES
J36,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,ABSCESO PERIAMIGDALINO
J37,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,LARINGITIS Y LARINGOTRAQUEITIS CRONICAS
J38,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,ENFERMEDADES DE LAS CUERDAS VOCALES Y DE LA LARINGE
J39,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES,OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES
J40,ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,"BRONQUITIS, NO ESPECIFICADA COMO AGUDA O CRONICA"
J41,ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,BRONQUITIS CRONICA SIMPLE Y MUCOPURULENTA
J42,ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,BRONQUITIS CRONICA NO ESPECIFICADA
J43,ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,ENFISEMA
J44,ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS - EPOC
J45,ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,ASMA
J90,OTRAS ENFERMEDADES DE LA PLEURA,DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE
J91,OTRAS ENFERMEDADES DE LA PLEURA,DERRAME PLEURAL EN AFECCIONES CLASIFICADAS EN OTRA PARTE
J92,OTRAS ENFERMEDADES DE LA PLEURA,PAQUIPLEURITIS
J93,OTRAS ENFERMEDADES DE LA PLEURA,NEUMOTORAX
J94,OTRAS ENFERMEDADES DE LA PLEURA,OTRAS AFECCIONES DE LA PLEURA
J95,OTRAS ENFERMEDADES DEL SISTEMA RESPIRATORIO,"TRASTORNOS DEL SISTEMA RESPIRATORIO CONSECUTIVOS A PROCEDIMIENTOS, NO"
J96,OTRAS ENFERMEDADES DEL SISTEMA RESPIRATORIO,"INSUFICIENCIA RESPIRATORIA, NO CLASIFICADA EN OTRA PARTE"
J98,OTRAS ENFERMEDADES DEL SISTEMA RESPIRATORIO,OTROS TRASTORNOS RESPIRATORIOS
J99,OTRAS ENFERMEDADES DEL SISTEMA RESPIRATORIO,TRASTORNOS RESPIRATORIOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K00,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES
K007,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,SINDROME DE LA ERUPCION DENTARIA
K01,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,DIENTES INCLUIDOS E IMPACTADOS
K02,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,CARIES DENTAL
K03,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES
K04,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERICARIALES
K05,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,GINGIVITIS Y ENFERMEDADES PERIODONTALES
K06,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,OTROS TRASTORNOS DE LA ENCIA Y DE LA ZONA EDENTULA
K07,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,ANOMALIAS DENTOFACIALES (INCLUSO LA MALOCLUSION)
K08,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,OTROS TRASTORNOS DE LOS DIENTES Y SUS ESTRUCTURAS DE SOSTEN
K083,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,RAÍZ DENTAL RETENIDA
K088,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,ODONTALGIA. DOLOR DE DIENTES O MUELAS
K09,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,"QUISTES DE LA REGION BUCAL, NO CLASIFICADOS EN OTRA PARTE"
K10,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,OTRAS ENFERMEDADES DE LOS MAXILARES
K11,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,ENFERMEDADES DE LAS GLANDULAS SALIVALES
K12,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,ESTOMATITIS Y LESIONES AFINES
K13,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,OTRAS ENFERMEDADES DE LOS LABIOS Y DE LA MUCOSA BUCAL
K14,ENFERMEDADES DE LA CAVIDAD BUCAL DE LAS GLANDULAS SALIVALES Y DE LOS MAXILARES,ENFERMEDADES DE LA LENGUA
K20,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",ESOFAGITIS
K21,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",ENFERMEDAD DEL REFLUJO GASTROESOFAGICO
K22,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",OTRAS ENFERMEDADES DEL ESOFAGO
K25,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",ULCERA GASTRICA
K26,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",ULCERA DUODENAL
K27,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO","ULCERA PEPTICA, DE SITIO NO ESPECIFICADO"
K28,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",ULCERA GASTROYEYUNAL
K29,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",GASTRITIS Y DUODENITIS
K297,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",GASTRITIS NO ESPECIFICADA
K30,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",DISPEPSIA
K31,"ENFERMEDADES DEL ESOFAGO, DEL ESTOMAGO Y DEL DUODENO",OTRAS ENFERMEDADES DEL ESTOMAGO Y DEL DUODENO
K35,ENFERMEDADES DEL APENDICE,APENDICITIS AGUDA
K36,ENFERMEDADES DEL APENDICE,OTROS TIPOS DE APENDICITIS
K37,ENFERMEDADES DEL APENDICE,"APENDICITIS, NO ESPECIFICADA"
K38,ENFERMEDADES DEL APENDICE,OTRAS ENFERMEDADES DEL APENDICE
K40,HERNIA,HERNIA INGUINAL
K41,HERNIA,HERNIA FEMORAL
K42,HERNIA,HERNIA UMBILICAL
K43,HERNIA,HERNIA VENTRAL
K44,HERNIA,HERNIA DIAFRAGMATICA
K45,HERNIA,OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL
K46,HERNIA,HERNIA NO ESPECIFICADA DE LA CAVIDAD ABDOMINAL
K50,ENTERITIS Y COLITIS NO INFECCIOSA,ENFERMEDAD DE CROHN(ENTERITIS REGIONAL)
K51,ENTERITIS Y COLITIS NO INFECCIOSA,COLITIS ULCERATIVA
K52,ENTERITIS Y COLITIS NO INFECCIOSA,OTRAS COLITIS Y GASTROENTERITIS NO INFECCIOSAS
K55,OTRAS ENFERMEDADES DE LOS INTESTINOS,TRASTORNOS VASCULARES DE LOS INTESTINOS
K56,OTRAS ENFERMEDADES DE LOS INTESTINOS,ILEO PARALITICO Y OBSTRUCCION INTESTINAL SINHERNIA
K57,OTRAS ENFERMEDADES DE LOS INTESTINOS,ENFERMEDAD DIVERTICULAR DEL INTESTINO
K58,OTRAS ENFERMEDADES DE LOS INTESTINOS,SINDROME DEL COLON IRRITABLE
K590,OTRAS ENFERMEDADES DE LOS INTESTINOS,CONSTIPACION
K592,OTRAS ENFERMEDADES DE LOS INTESTINOS,INTESTINO NEUROGENICO - COLON IRRITABLE
K599,OTRAS ENFERMEDADES DE LOS INTESTINOS,OTROS TRASTORNOS FUNCIONALES DEL INTESTINO
K60,OTRAS ENFERMEDADES DE LOS INTESTINOS,FISURA Y FISTULS DE LAS REGIONES ANAL Y RECTAL
K61,OTRAS ENFERMEDADES DE LOS INTESTINOS,ABSCESO DE LAS REGIONES ANAL Y RECTAL
K62,OTRAS ENFERMEDADES DE LOS INTESTINOS,OTRAS ENFERMEDADES DEL ANO Y DEL RECTO
K63,OTRAS ENFERMEDADES DE LOS INTESTINOS,OTRA ENFERMEDADES DE LOS INTESTINOS
